frame_no,user_position,user_orientation,camera_hit_obj,camera_hit_point,camera_hit_dist,controller_hit_obj,controller_hit_point,controller_hit_distance
1340,"(-11.07,3.31,-2.79)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",14.98,Wall West,"(-14.21,0.96,4.57)",7.96
1350,"(-11.05,3.31,-3.19)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",15.38,Wall West,"(-14.21,0.95,4.21)",8.00
1360,"(-11.03,3.31,-3.59)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",15.78,Wall West,"(-14.21,0.93,3.85)",8.05
1370,"(-11.01,3.31,-3.99)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",16.18,Wall West,"(-14.21,0.92,3.49)",8.09
1380,"(-10.99,3.31,-4.39)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",16.58,Wall West,"(-14.21,0.91,3.13)",8.14
1390,"(-10.98,3.31,-4.79)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",16.98,Wall West,"(-14.21,0.89,2.77)",8.19
1400,"(-10.96,3.31,-5.19)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",17.38,Wall West,"(-14.21,0.88,2.41)",8.23
1410,"(-10.94,3.31,-5.59)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",17.78,Wall West,"(-14.21,0.86,2.05)",8.28
1420,"(-10.92,3.31,-6.03)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",18.18,Wall West,"(-14.21,0.85,1.69)",8.32
1430,"(-10.90,3.31,-6.43)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",18.58,Wall West,"(-14.21,0.84,1.33)",8.37
1440,"(-10.88,3.31,-6.83)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",18.98,Wall West,"(-14.21,0.82,0.97)",8.42
1450,"(-10.86,3.31,-7.25)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",19.48,Wall West,"(-14.21,0.80,0.52)",8.48
1460,"(-10.84,3.31,-7.65)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",19.88,Wall West,"(-14.21,0.78,0.17)",8.53
1470,"(-10.82,3.31,-8.05)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",20.28,Wall West,"(-14.21,0.76,-0.19)",8.58
1480,"(-10.80,3.31,-8.44)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",20.68,Wall West,"(-14.21,0.74,-0.55)",8.63
1490,"(-10.78,3.31,-8.84)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",21.08,Wall West,"(-14.21,0.73,-0.91)",8.67
1500,"(-10.76,3.31,-9.24)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",21.48,Wall West,"(-14.21,0.70,-1.26)",8.72
1510,"(-10.74,3.31,-9.68)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",21.90,Wall West,"(-14.21,0.69,-1.64)",8.77
1520,"(-10.72,3.31,-10.08)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",22.28,Wall West,"(-14.21,0.67,-1.99)",8.81
1530,"(-10.70,3.31,-10.48)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",22.68,Cube,"(-13.74,1.00,-3.34)",7.70
1540,"(-10.68,3.31,-10.90)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",23.10,Cube,"(-13.71,1.00,-3.76)",7.70
1550,"(-10.68,3.31,-11.02)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",23.30,Cube,"(-13.71,1.00,-3.96)",7.70
1560,"(-10.68,3.31,-11.02)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",23.30,Cube,"(-13.71,1.00,-3.95)",7.71
1570,"(-10.68,3.31,-11.02)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",23.30,Cube,"(-13.71,1.00,-3.95)",7.71
1580,"(-10.68,3.31,-11.02)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",23.30,Cube,"(-13.71,1.00,-3.95)",7.71
1590,"(-10.68,3.31,-11.02)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",23.30,Cube,"(-13.71,1.00,-3.95)",7.71
1600,"(-10.68,3.31,-11.02)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",23.30,Cube,"(-13.71,1.00,-3.95)",7.71
1610,"(-10.68,3.31,-11.02)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",23.30,Cube,"(-13.71,1.00,-3.94)",7.72
1620,"(-10.68,3.31,-11.02)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",23.30,Cube,"(-13.71,1.00,-3.94)",7.72
